data
618089
559125
631798
641968
722047
653556
626486
497463
366621
651099
689834
372289
379593
369846
501233
606059
661719
619971
554592
340675
534587
513136
637895
601977
705542
507252
491449
316855
630648
652278
752584
521650
540321
593428
475112
541019
587449
442020
587957
589031
618806
663663
448201
391442
309473
169752
170590
124449
290740
210450
159440
205365
451600
295499
207507
265660
288334
380500
505130
493650
684155
631550
620640
665560
613550
573450
88920
493730
325590
593000
525110
516994
276520
445820
573340
474030
406440
323195
346350
424130
274400
470970
451258
287613
